# Oura Ring Event Export
# Timestamp: Sun Jan 11 23:51:16 GMT+01:00 2026
# Events: 184
#
# Format: index|tag_hex|hex_data
#
173|0x80|API_GREEN_IBI_QUALITY_EVENT|8012739900007008720e730a720d720f740e740a
174|0x80|API_GREEN_IBI_QUALITY_EVENT|8012bb990000700a7208720f700f700f720b720f
175|0x5b|API_BLE_CONNECTION_IND|5b0ebd99000003029cd9fbe9eb740000
176|0x46|API_TEMP_EVENT|460ad7990000a20c160dea0a
177|0x80|API_GREEN_IBI_QUALITY_EVENT|8012f59900006f0d710e730f7208710a7208710b
178|0x80|API_GREEN_IBI_QUALITY_EVENT|80122f9a00006f0d6f0c720d730d700d710f730f
179|0x80|API_GREEN_IBI_QUALITY_EVENT|8012839a0000710d710d73087208720b8c1c74a8
180|0x47|API_MOTION_EVENT|47091c9b00006d44cce209
181|0x80|API_GREEN_IBI_QUALITY_EVENT|8012309b00007adc765e73186f19610b630a6209
182|0x80|API_GREEN_IBI_QUALITY_EVENT|8012439b0000600bd277c494a991b09752746070
183|0x80|API_GREEN_IBI_QUALITY_EVENT|8012539b0000fa103115fa108e146f146f0c6a0e
#
# Event Type Summary:
# 0x41 (API_RING_START_IND): 1 events
# 0x45 (API_STATE_CHANGE_IND): 14 events
# 0x46 (API_TEMP_EVENT): 36 events
# 0x47 (API_MOTION_EVENT): 32 events
# 0x50 (API_ACTIVITY_INFO): 2 events
# 0x53 (API_WEAR_EVENT): 1 events
# 0x5b (API_BLE_CONNECTION_IND): 8 events
# 0x69 (API_TEMP_PERIOD): 1 events
# 0x6c (API_FEATURE_SESSION): 9 events
# 0x6d (API_MEAS_QUALITY_EVENT): 23 events
# 0x80 (API_GREEN_IBI_QUALITY_EVENT): 55 events
# 0x82 (API_SCAN_START): 1 events
# 0x83 (API_SCAN_END): 1 events
