# Oura Ring Event Export
# Events: 1015
# Format: index|tag_hex|event_name|hex_data
277|0x43|API_DEBUG_EVENT|431263640c0043686753743b3030303032383138
278|0x61|API_MEAS_QUALITY_EVENT|611264640c00140664ea0ffdffffff1a45000052
279|0x45|API_STATE_CHANGE_IND|451165640c00016368672e2073746f70706564
280|0x61|API_MEAS_QUALITY_EVENT|611266640c00090000000023bc0000747ed20008
281|0x61|API_MEAS_QUALITY_EVENT|611167640c000a000000008901000000000000
282|0x61|API_MEAS_QUALITY_EVENT|611168640c000dad76060000000000ad75cc00
283|0x61|API_MEAS_QUALITY_EVENT|610e69640c000c973ad3008010000008
284|0x43|API_DEBUG_EVENT|430a6a640c0070705f6f6666
285|0x61|API_MEAS_QUALITY_EVENT|610c6b640c002901040200000119
286|0x61|API_MEAS_QUALITY_EVENT|61126c640c0009f40c00004428000006ccd10080
287|0x61|API_MEAS_QUALITY_EVENT|61126d640c002800010000000000000000000000
288|0x61|API_MEAS_QUALITY_EVENT|61126e640c002801000000000000000000000000
289|0x46|API_TEMP_EVENT|460a6f640c00a70b1c0cf909
290|0x43|API_DEBUG_EVENT|430d70640c00626174743a20313030
291|0x61|API_MEAS_QUALITY_EVENT|610971640c002464e90f00
292|0x46|API_TEMP_EVENT|460abd660c00230b860b5309
293|0x43|API_DEBUG_EVENT|430de3680c004d463439343a363a32
294|0x46|API_TEMP_EVENT|460a15690c00a80a220bf108
295|0x46|API_TEMP_EVENT|460a6d6b0c004f0abe0a8f08
296|0x61|API_MEAS_QUALITY_EVENT|6112866b0c00140364e70fdfffffff1a45000051
297|0x46|API_TEMP_EVENT|460ac56d0c000b0a8c0a4e08
298|0x61|API_MEAS_QUALITY_EVENT|61071d700c002a000d
299|0x61|API_MEAS_QUALITY_EVENT|61081e700c002a010000
300|0x61|API_MEAS_QUALITY_EVENT|61121f700c00140664e60fedffffff1a45000051
301|0x45|API_STATE_CHANGE_IND|451220700c001e48572074657374207374617274
302|0x61|API_MEAS_QUALITY_EVENT|611221700c00099c0095008db60000604e000001
303|0x61|API_MEAS_QUALITY_EVENT|611122700c000a000000002300000000000000
304|0x61|API_MEAS_QUALITY_EVENT|611123700c000d000000000000000085059600
305|0x61|API_MEAS_QUALITY_EVENT|610e24700c000c8a059600b90b000001
306|0x61|API_MEAS_QUALITY_EVENT|611125700c0025000500020200000000000000
307|0x61|API_MEAS_QUALITY_EVENT|610c26700c002900000000000000
308|0x61|API_MEAS_QUALITY_EVENT|611227700c0009cfff9500080200002f3d010080
309|0x61|API_MEAS_QUALITY_EVENT|611228700c002800000000000000000000000000
310|0x61|API_MEAS_QUALITY_EVENT|611229700c002801000000000000000000000000
311|0x45|API_STATE_CHANGE_IND|451051700c00014857207465737420656e64
312|0x61|API_MEAS_QUALITY_EVENT|611252700c00099897020042020000a00000001e
313|0x61|API_MEAS_QUALITY_EVENT|611153700c000a000000000000000000000000
314|0x61|API_MEAS_QUALITY_EVENT|611154700c000d0000000000000000ad000000
315|0x61|API_MEAS_QUALITY_EVENT|610e55700c000ca09a0200340000001e
316|0x61|API_MEAS_QUALITY_EVENT|610c56700c002901040200000119
317|0x61|API_MEAS_QUALITY_EVENT|611157700c0026000005000000f6ffffffe409
318|0x61|API_MEAS_QUALITY_EVENT|610a58700c002601e60fe60f
319|0x61|API_MEAS_QUALITY_EVENT|610e59700c00260270feffff00000000
320|0x61|API_MEAS_QUALITY_EVENT|61095a700c002a02000000
321|0x61|API_MEAS_QUALITY_EVENT|61085b700c002a010108
322|0x45|API_STATE_CHANGE_IND|45125c700c001e48572074657374207374617274
323|0x61|API_MEAS_QUALITY_EVENT|61125d700c0009000000003d0000004800000001
324|0x61|API_MEAS_QUALITY_EVENT|61115e700c000a000000000000000000000000
325|0x61|API_MEAS_QUALITY_EVENT|61115f700c000d000000000000000000000000
326|0x61|API_MEAS_QUALITY_EVENT|610e60700c000cad0000000000000001
327|0x61|API_MEAS_QUALITY_EVENT|611161700c0025081e00010200000000000000
328|0x61|API_MEAS_QUALITY_EVENT|611262700c00095199020068000000e800000080
329|0x61|API_MEAS_QUALITY_EVENT|611263700c002800000000000000000000000000
330|0x61|API_MEAS_QUALITY_EVENT|611264700c002801000000000000000000000000
331|0x61|API_MEAS_QUALITY_EVENT|610c65700c002900000000000000
332|0x45|API_STATE_CHANGE_IND|45107f710c00014857207465737420656e64
333|0x61|API_MEAS_QUALITY_EVENT|611280710c00097b170f00f7040000ad0000001e
334|0x61|API_MEAS_QUALITY_EVENT|611181710c000a000000002300000000000000
335|0x61|API_MEAS_QUALITY_EVENT|611182710c000d000000000000000000000000
336|0x61|API_MEAS_QUALITY_EVENT|610e83710c000c201d0f002e0100001e
337|0x61|API_MEAS_QUALITY_EVENT|610c84710c002901040200000119
338|0x61|API_MEAS_QUALITY_EVENT|611185710c002600081e000000ecffffffe409
339|0x61|API_MEAS_QUALITY_EVENT|610a86710c002601e60fe60f
